frecuencia neg,frecuencia pos,palabra
17,12,usher
21,28,lens
0,2,gnaws
1,2,unobservant
0,2,rajah
4,1,cutlery
14,11,comically
125,58,christ
0,1,demigods
0,1,olympus
3,2,capes
0,4,blom
28,46,tyler
0,9,futures
16,24,anxiety
4,9,dilemmas
51,61,swedish
3,9,hula
4,12,calhoun
2,2,gran
2,4,boozing
0,3,haldane
0,2,arlette
0,2,marchal
8,9,bane
4,3,competes
7,10,maude
0,2,truax
11,35,wartime
0,7,evacuee
4,4,beech
2,2,billeted
0,2,wets
3,14,solace
7,9,transpires
0,2,choirmaster
4,10,jerusalem
0,3,zacharias
8,4,wrench
3,18,settling
8,10,recalled
13,10,cellar
26,18,raid
56,36,im
24,32,thieves
17,11,port
14,17,tanks
4,4,leona
0,1,ozaki
52,23,haired
2,3,partnered
33,37,commander
0,1,brenten
9,3,selleck
6,2,steroids
26,16,revolver
7,6,wrecking
4,6,endear
45,57,fond
1,3,nicknames
0,3,bonaparte
14,17,transferred
7,10,welfare
1,2,specs
0,1,bifocal
3,2,chaplain
21,13,mo
1,1,hawked
0,1,mohican
0,5,bellied
65,27,yelling
39,20,cyborg
0,4,buaku
12,10,sidekicks
4,5,uni
0,3,puma
2,2,urine
6,3,samples
14,29,clouds
0,2,uncompleted
13,27,manga
2,18,examines
15,15,blurred
31,27,quentin
2,6,dominion
1,10,glacier
7,2,bugged
0,1,rereleased
20,32,narrated
3,20,compliments
16,16,offerings
9,8,swayed
4,4,naysayers
9,11,thesis
1,6,jt
24,32,jaded
2,6,nirvana
16,13,log
1,1,agonizes
0,2,dedalus
3,4,strick
3,11,recreating
0,1,bloomsday
25,32,celebrated
5,2,entendre
0,1,gunter
0,1,volker
0,1,schl
0,1,ndorff
6,4,favorably
34,35,recognizable
4,18,mulligan
30,44,additional
0,1,invinoveritas
1,1,aol
18,10,singleton
1,8,rapaport
2,2,campuses
41,41,stunned
1,3,fishburn
9,6,nagging
4,3,cropped
10,12,scholarship
29,28,accounts
26,57,testament
8,12,judas
0,1,sanhedrin
2,4,pilate
7,2,waffle
5,14,willingness
3,9,blithely
15,6,disinterested
3,4,leibman
47,41,worn
3,1,cheesed
1,4,conchata
0,1,forgottenmaybe
1,1,clarinet
4,2,disprove
6,10,lineup
1,8,farscape
15,23,denying
0,3,verged
0,2,eberts
0,1,reprieves
0,3,ventresca
6,7,shifted
7,14,overwhelm
0,3,greenberg
11,5,hercules
4,10,provincial
9,17,interacting
1,3,overtures
4,2,zealots
15,13,prayer
15,11,meetings
0,1,irreligious
6,9,brushes
4,18,persistent
0,17,jeon
0,12,yeon
6,9,stupendous
1,7,minneapolis
55,21,sums
0,1,espeically
39,26,hangs
6,4,morocco
9,13,beaches
14,16,outbreak
31,43,canyon
3,1,corniest
17,8,bandit
18,22,casted
5,9,sigourney
20,18,weaver
23,26,warden
46,45,guarantee
26,23,brett
3,11,narrowly
1,2,edging
10,23,basil
3,28,rathbone
0,1,conon
22,31,doyle
13,10,strands
1,12,heightens
46,75,hatred
0,25,milverton
0,2,hardwick
5,2,outlets
3,7,fireman
61,71,row
6,12,lobby
2,2,precede
0,21,firemen
0,7,rending
11,12,jerking
2,5,harmonious
2,1,wrinkly
31,25,stella
20,31,misunderstood
47,19,remove
6,9,coloured
0,3,recession
9,9,divide
21,11,crummy
3,2,idolizes
31,32,educated
11,19,ivy
41,9,abortion
8,14,lifestyles
7,10,advantages
2,3,unloved
3,8,vicariously
46,19,messy
27,23,apt
6,13,collapsed
3,10,totalitarian
1,4,arisen
21,20,blames
10,16,earning
38,23,butcher
6,16,eighteen
2,5,laughlin
0,3,koto
3,2,weiss
0,20,mcintyre
4,10,breakout
13,10,detention
7,5,mic
0,4,fleetwood
0,1,reeducation
1,3,ratted
2,8,runners
2,6,zones
7,16,ventura
3,2,spoofed
35,15,rips
0,6,alonzo
5,6,tanaka
2,6,sven
12,7,ole
9,7,liberals
1,1,aclu
6,6,blasphemy
3,5,accusation
0,1,filmability
0,2,bluebeard
13,2,sirens
2,8,titan
8,19,thematic
0,2,filmable
1,3,jailbird
1,1,galapagos
5,4,heaping
41,45,hilariously
0,2,objectify
9,14,obstacle
2,1,authorial
0,1,talkovers
1,3,cropper
13,11,subjective
3,4,aisles
37,16,drab
1,5,resourcefulness
18,5,slaughterhouse
0,1,bergeron
1,2,misfiring
7,9,disposable
0,1,timbuktu
2,8,misinterpreted
0,1,generality
7,4,surgical
7,2,hg
9,10,moreau
6,13,charmed
6,6,chronology
16,8,peet
1,16,genesis
16,2,slashed
46,23,cohen
29,26,sixth
5,12,exemplifies
21,19,laser
17,31,haunt
1,3,reverie
3,3,utilised
16,25,asset
2,3,bedazzled
16,25,tended
7,6,eclipsed
1,7,meanness
0,1,rifted
4,11,enabled
3,3,clownish
5,2,conversational
2,1,digressions
2,4,anarchic
0,3,guilgud
3,8,acerbic
1,3,attains
7,9,cuddly
1,4,dejected
13,12,sample
1,5,rowland
2,11,declining
11,26,alcoholism
3,7,spectre
20,17,heroin
0,2,infantilize
0,2,standardize
60,54,ought
20,3,campfire
10,7,flickering
4,16,spectators
5,21,deftly
2,4,purposeful
3,6,sedate
1,3,postings
15,32,collar
4,4,transmit
21,21,data
6,8,tang
0,1,entwines
28,54,underlying
2,2,accelerate
29,9,rhyme
6,11,distortion
22,7,haim
0,12,bouzaglo
7,7,blocked
6,13,impotent
26,36,disguised
0,1,skullcap
44,21,wanders
0,1,transcribes
4,15,incorporates
1,7,rehearsals
48,35,crystal
2,1,dispensable
2,1,voyeurs
0,1,illicitly
19,30,glimpses
3,1,violations
5,6,rooftop
4,6,dimly
6,12,surveillance
8,9,selves
13,16,searches
25,10,stalks
0,1,nervated
1,1,cannibalizing
13,5,bankrupt
3,11,entrepreneur
57,46,cheating
2,5,cuckolded
2,2,inaction
1,2,scans
21,20,reported
1,3,vindication
6,9,aching
13,29,admiration
24,34,immortal
5,22,mordrid
1,10,kabal
14,10,chained
0,4,enslave
1,1,prophesy
5,10,platinum
3,3,alchemy
19,28,courtesy
28,22,combs
10,20,differ
81,18,dinosaur
0,1,pantsuit
21,33,symbol
18,5,suspiciously
1,1,sickle
6,6,devour
3,7,grape
8,5,haircuts
0,3,goony
1,1,enunciate
0,1,gingerdead
2,2,baleful
2,6,attuned
3,6,festivities
3,9,romps
218,89,unnecessary
15,12,professionally
28,11,superfluous
3,9,attracting
0,1,outdrawing
17,10,roaming
0,1,okanagan
11,16,lassie
1,5,collie
38,26,undead
1,2,mccarthyism
77,40,romero
17,36,moss
20,10,acquire
4,31,connolly
1,2,adjusts
14,4,lumbering
0,1,zomcoms
36,61,campbell
29,19,misty
7,6,mundae
36,4,jigsaw
2,6,domesticated
0,7,dirtiest
0,1,rottenest
0,1,scoundrals
0,1,badman
31,20,begs
7,11,forgives
0,1,thirdspace
9,12,crusade
3,7,hitman
0,18,hoechlin
22,19,banks
9,18,mobsters
38,54,catching
6,4,bogs
4,6,sustains
3,25,mendes
11,23,bonding
16,7,tucci
1,4,protege
7,17,soaked
4,8,executes
1,3,banged
2,5,penitentiary
0,2,juggles
6,5,collaborated
48,29,noises
7,9,burnett
0,5,linn
29,29,demonstrate
0,2,calamities
1,4,befall
6,11,hopping
4,1,glop
0,2,minted
0,3,addicting
6,19,gameplay
20,27,controls
0,10,bowser
31,40,ps
0,2,wii
33,27,referring
0,1,killbot
19,13,throwaway
25,48,patricia
0,5,foulkrod
2,3,scarily
0,5,scruples
18,12,recruits
3,4,combatants
41,5,unnatural
0,1,sustainable
0,2,antiwar
0,3,legality
5,5,paradox
4,8,unsuitable
11,18,links
4,8,structurally
0,3,affective
26,21,interviewed
0,3,banded
2,1,ingrained
3,5,rehabilitation
2,2,indignity
4,6,fallout
15,12,farcical
0,1,epitom
0,5,ria
32,39,housewife
1,3,embarked
6,25,adored
4,6,determining
1,3,groupies
3,5,adjusting
1,6,anew
2,10,rockers
1,2,hollis
0,1,maclaren
11,4,whales
1,1,thsi
3,2,sawed
0,1,cyajim
43,40,mm
4,2,scanned
8,9,mastered
3,14,projector
0,1,hwd
2,3,cravens
23,26,gus
16,17,sant
0,8,salles
9,11,elijah
0,1,glyllenhall
2,1,geena
13,15,soo
0,1,msr
0,1,relegate
5,11,mime
3,8,schmaltz
18,28,tones
0,3,daisenso
21,24,takashi
0,4,kirin
2,5,doings
14,13,skirt
24,23,boots
1,3,beehive
1,2,resentments
3,10,manifested
0,2,derelicts
55,2,gamera
7,6,benign
8,8,sail
5,28,caf
1,12,lumi
19,43,des
0,5,usines
6,4,streaming
0,2,arriv
0,1,ciotat
37,40,fifty
10,27,unnerving
7,31,vienna
0,11,viennese
3,7,ills
2,9,fussy
0,1,fantasises
30,29,cleaning
5,7,striptease
0,3,contends
7,2,racer
1,2,mistreats
12,10,culprit
1,3,vandalism
3,3,hitching
110,18,insulting
3,2,converge
4,6,characterised
18,13,hitch
8,3,hiker
4,4,arouses
23,24,sour
3,2,wedged
0,3,uppance
1,2,unnerved
40,47,counter
1,5,coldness
37,8,shred
2,4,countered
4,4,communion
7,15,classify
7,9,bisexual
1,1,incapacity
0,3,divulges
2,3,discord
9,14,dalmatians
19,21,cruella
7,3,vil
0,1,metropolitain
16,24,bless
11,9,puppies
1,2,hereby
1,3,dalmatian
18,19,atomic
14,8,venice
0,1,cancelated
1,4,saldana
14,2,drones
5,8,reconsider
2,16,petition
28,39,http
0,5,petitiononline
1,5,gh
4,12,html
1,4,conner
11,42,pfeiffer
28,43,bent
4,46,stardust
40,31,previews
0,3,dedee
0,3,emilie
5,11,lori
0,1,tegan
0,1,weeknight
7,1,lmn
31,19,translate
0,9,pedicab
3,1,nosedive
2,52,sammo
6,8,kar
7,13,lau
6,7,taller
23,6,annoys
17,10,speeding
17,15,hurting
26,6,edits
4,1,dissuade
2,3,saviour
42,41,rolled
19,47,departure
0,1,evaporation
5,2,unchallenged
24,46,triple
0,7,chyna
1,5,systematically
0,1,mcmahonagement
0,5,dx
14,10,tyson
4,25,enforcer
169,36,forgettable
3,3,contenders
2,5,rewatched
5,22,highlighted
10,9,defended
1,9,taka
0,1,michonoku
0,2,aguila
31,31,compete
12,4,wcw
19,30,entrance
1,5,ringside
3,5,handcuffed
3,3,interfered
0,3,mero
0,8,sable
0,2,goldust
4,12,luna
0,2,vachon
4,3,disintegration
0,4,shamrock
29,15,flip
4,4,ic
1,6,reversing
3,4,cactus
7,4,dumpster
1,1,overturned
3,1,casket
13,11,disfigured
0,1,underataker
2,1,tombstones
2,2,debilitating
9,5,banished
6,5,interfering
0,1,ducking
0,7,stunner
0,10,ref
12,20,celebrating
14,19,garnered
32,18,relevance
79,17,downhill
23,15,deborah
5,3,pratt
8,7,borgnine
2,14,airwolf
5,8,persecution
1,4,instills
132,26,ashamed
4,14,samhain
1,2,sawney
2,1,beane
74,10,cannibal
33,5,mutants
20,15,amok
29,10,cannibals
1,1,waay
9,12,reinforced
10,53,mesmerizing
1,8,destinies
5,9,warmly
17,7,gleason
0,1,subpoena
4,7,jockey
2,9,brainy
38,18,intentional
0,1,featherbrained
18,16,carole
8,25,lombard
4,4,rib
0,3,wurlitzer
36,26,rapidly
9,23,greta
22,81,garbo
5,9,expansive
72,18,inappropriate
48,24,hammy
13,17,downward
7,5,shrug
1,2,truism
43,10,feeble
2,19,electrifying
2,2,vicente
0,3,blasco
0,3,ibanez
1,3,entre
0,2,naranjos
11,17,tailor
1,1,magnifies
9,12,assets
9,7,pesky
2,6,temptress
7,17,ricardo
13,24,cortez
0,1,unnactractive
0,2,ungracefully
4,17,powerhouse
0,2,cupido
0,7,mattox
0,4,bernarda
0,3,brull
1,3,spanned
13,49,scariest
0,10,fps
0,1,gfx
92,76,weapons
0,1,soundeffects
0,2,scryeeee
0,3,scrye
0,1,escpecially
16,13,participating
8,10,yearn
6,13,emphasizes
4,2,foreseen
3,5,refinement
23,36,eventual
0,17,beckett
1,1,js
0,1,denchs
18,90,palma
22,33,angie
5,33,dickinson
11,9,pino
0,6,donaggio
34,18,starters
20,4,spawn
7,8,cartoony
0,1,feiss
50,30,chicken
11,10,spirituality
1,4,jehovah
4,5,acute
23,21,facility
0,1,hemolytic
0,3,transfusions
1,4,conferences
0,2,pathogens
20,15,induced
2,1,transfused
9,5,unreasonable
1,3,benefiting
1,1,abstain
4,6,expands
0,2,impartially
3,6,alistair
2,5,cooke
0,3,loll
2,8,frontiers
34,34,melissa
7,77,sabrina
7,4,mjh
6,4,unused
0,2,lascher
0,2,kellie
25,21,bust
8,7,horde
1,1,plaguing
32,38,terrified
1,11,expressionistic
19,13,atwill
29,92,fay
16,15,wray
3,4,alarmed
18,9,dour
8,13,perplexed
45,12,conveniently
8,5,eburne
2,9,hypochondriac
1,3,belmore
3,2,burgermeister
14,17,frye
8,13,loosing
17,6,jumpy
0,4,fraidy
5,17,fearful
6,10,ninth
95,54,millions
3,1,divisive
5,10,beams
0,1,molden
8,21,newhart
49,22,banal
5,7,morley
6,4,ceasar
15,9,forgiving
24,36,longest
0,1,overpraise
17,3,rapper
4,6,inflections
20,18,mcdermott
0,1,aggravate
8,5,berate
0,2,corean
0,4,occidental
0,1,coreen
8,24,interpreted
2,7,kang
0,1,heterogeneity
1,6,veracity
3,3,phases
14,24,denial
8,3,pert
0,2,fallows
10,17,catalog
4,11,conceptual
1,1,artifices
1,2,especialy
0,1,unability
4,33,chang
3,1,accumulation
1,1,melo
9,7,aesthetically
23,22,forgets
88,25,apes
5,3,bailed
5,4,parachute
6,6,marius
0,13,goring
7,10,prevails
0,1,trubshawe
19,31,kathleen
29,15,byron
23,52,attenborough
0,3,sofaer
0,2,tearjerkers
31,25,theories
126,19,idiotic
0,1,tiangle
52,15,surgery
3,6,francesca
1,6,annis
6,7,robson
4,2,smoldering
17,15,apologies
12,9,bradley
7,7,daniela
0,1,nardini
4,4,spurned
0,1,mullen
0,3,rhind
0,3,tutt
0,1,imdbman
20,26,customers
0,2,emigrates
20,11,budgeted
9,6,prodigy
0,6,haute
12,3,aja
2,22,mal
0,19,fique
3,2,frenchmen
95,72,properly
6,6,ramshackle
6,8,occupants
4,16,inmate
13,17,transvestite
5,6,foursome
10,8,journal
9,11,specialized
3,11,rites
22,27,occult
1,3,dedicates
6,7,oceans
43,13,redundant
1,1,wishmaster
1,2,truckloads
162,24,unconvincing
3,6,hustling
15,18,gifts
5,4,qualifications
0,3,photojournals
8,5,pics
3,4,scams
7,5,privy
11,10,mugging
0,2,happierabroad
0,1,htmit
10,62,kidman
1,6,katya
6,8,impossibility
9,4,perpetuate
3,5,correspond
10,8,immigration
0,1,wumaster
1,2,breakdance
3,6,roxy
67,13,claus
6,3,videotaped
8,13,multitude
0,4,quests
1,4,excitingly
1,6,colby
14,13,wizards
10,7,kor
0,2,conquerer
6,4,svenson
0,10,manfred
0,1,kraatz
2,5,humanizing
9,12,henson
26,63,drake
31,33,predecessor
1,6,reckoning
2,2,sprees
14,65,andre
16,21,illusion
28,11,stripper
0,1,toretton
0,1,emmannuelle
0,2,seigner
0,4,pierrot
2,5,welling
7,8,embodiment
17,30,weekly
0,2,permitting
0,2,rosenbaum
0,1,kreuk
0,11,zp
7,33,daria
9,14,imagines
1,9,structures
5,5,anticipates
2,6,explorations
145,105,desert
22,13,orgy
0,1,hipotetic
23,25,applies
0,1,hipocresy
25,9,skipping
7,6,uninterested
0,1,segun
4,9,devastation
1,3,wreaked
2,24,binder
0,4,rocketed
2,1,caprio
4,2,belittle
0,1,ngs
0,1,mementos
0,1,memorials
0,1,commemorations
0,1,safran
0,1,foer
3,7,allude
9,15,proportion
6,7,unjust
44,41,iraq
27,9,afghanistan
0,1,birma
17,16,empathize
1,3,commemorate
5,13,discusses
0,1,commiserated
0,1,hutu
0,1,rwandan
1,5,thrift
17,19,tasks
1,1,hundredth
3,1,generalized
0,2,estrela
0,1,castelo
0,1,pulsa
0,2,sorte
0,1,nula
0,2,fragata
2,3,hypothetical
30,21,phoenix
12,17,measured
0,1,kaabee
18,20,imprisoned
0,7,yamada
0,1,youji
21,10,baffled
0,5,yoshinaga
14,5,sayuri
0,1,shoufukutei
0,1,tsurube
13,8,asano
8,7,tadanobu
2,4,wittiness
0,1,yuunagi
0,6,machi
9,7,sakura
0,1,kuni
3,8,brainwashing
46,41,spider
10,14,dc
14,13,graphically
2,7,textures
5,8,navigate
3,4,strategic
18,5,gaming
3,4,spidey
1,8,dreamcast
3,7,snag
8,15,geared
6,7,taunting
24,19,aniston
47,38,improvement
2,1,forgetable
3,4,zap
2,3,crackle
5,24,powerfully
1,1,almightly
15,22,cynicism
3,9,tumble
12,11,gals
11,10,motley
10,3,afoul
55,24,crazed
9,8,alberto
0,2,mejia
0,4,trespassing
9,18,pedro
1,2,galindo
3,7,rattling
7,7,slicing
1,7,praiseworthy
6,5,fernandez
19,10,nacho
4,8,gonzalez
0,3,alejandra
0,4,charly
0,3,tono
0,1,mauri
1,6,antagonistic
86,48,jerk
0,5,mauricio
0,2,marisol
0,1,santacruz
22,9,skimpy
2,1,anda
3,4,agile
1,2,sylvan
0,1,plascencia
1,5,shuddery
8,5,trim
3,22,mastery
4,5,innermost
1,6,reborn
4,10,infinite
2,2,gambles
4,4,instability
5,6,panel
7,9,installed
3,1,activates
5,9,traveler
6,7,gabrielle
1,6,boni
5,2,harbour
15,15,observing
5,6,photographing
23,9,skinned
10,5,calmly
12,13,flops
0,7,busfield
18,4,listless
0,1,perron
24,2,hams
3,5,superintendent
0,1,jutras
1,1,ormondroyd
2,7,norms
0,2,forsa
9,11,helga
5,7,everytime
56,45,y
0,1,purifier
17,19,shakespearean
9,18,restricted
1,4,traitorous
1,2,lovesick
9,32,effortlessly
8,1,copycat
77,26,shelf
17,22,spotted
0,1,puppetmaster
42,39,puppet
17,13,campers
0,3,impelled
48,16,demonic
6,3,tyrannus
18,7,chopping
18,17,limbs
24,30,python
7,8,trashing
0,1,videozone
18,16,saddest
19,21,boards
13,22,philadelphia
1,10,cocktails
10,6,lining
49,26,cancer
22,8,cent
0,4,fags
7,6,organizations
5,4,associations
25,11,gays
1,1,quilt
0,1,memorializing
28,18,counting
3,14,barriers
2,2,straights
0,3,cel
4,17,elton
1,2,guillame
0,3,moira
10,12,reprise
6,4,rafiki
2,1,nala
4,39,cheech
3,14,marin
6,4,hyenas
68,11,wretched
3,20,jonny
45,27,sooner
5,3,intergalactic
17,27,earliest
0,30,krell
12,25,boost
50,7,quantum
23,39,id
0,3,unchecked
0,3,corporeal
3,25,morbius
7,2,jacked
1,5,defenses
55,41,species
8,2,interchangeable
48,43,francis
1,4,ire
0,3,exacerbated
0,1,wolfy
22,13,astronauts
9,3,dames
1,4,hooch
21,10,robbie
1,3,soulmate
0,2,stiflers
6,4,ap
36,47,trail
19,18,virginity
19,33,deed
8,21,roses
2,1,levenstein
12,10,eyebrow
3,1,touchdown
9,8,chilly
0,1,britspeak
0,3,crythin
2,3,gifford
6,7,hulking
2,2,fringes
1,3,swathed
2,8,endangered
1,3,tot
1,1,incurs
10,18,malevolent
8,5,filmy
1,2,gauzy
2,1,wraith
3,7,generator
62,9,snakes
1,1,bitingly
18,12,warnings
1,5,roadster
0,3,accumulates
1,9,inexorably
3,12,talia
0,5,ara
1,1,directional
42,56,safety
2,3,lowlife
9,6,shifty
0,2,backroom
12,10,cancel
0,3,bluffs
4,14,showy
57,53,conversations
1,1,battlegrounds
0,1,frenchfilm
1,1,provence
53,6,unimaginative
3,13,wallop
10,8,churned
15,22,na
2,5,benefactor
45,18,contempt
3,6,bestowed
34,27,motive
11,3,misused
7,4,overworked
17,22,virtue
0,2,dependably
1,4,contested
2,2,bypasses
3,6,alliances
1,3,counselling
3,3,inflicts
5,4,bystander
8,6,variable
2,1,extrovert
3,6,stillness
69,34,z
20,33,fallon
6,9,yankees
0,1,alcs
55,61,fever
0,1,busom
7,2,larson
0,1,sro
4,10,endeavors
1,8,maruschka
2,4,blindingly
3,6,exams
0,4,weeps
91,36,wreck
0,1,goddamned
5,9,zimmer
0,5,interpretive
36,24,burke
3,2,lighthouse
0,3,als
80,44,lou
2,3,gehrig
1,5,sufferer
0,1,misbehaves
33,45,alternative
5,4,tha
0,3,tightens
0,1,blaire
0,1,obviusly
0,1,ficticious
4,2,anus
0,2,jehovahs
1,6,freedoms
0,3,dinners
1,2,birthdays
1,3,surgeries
14,10,bloodless
31,23,skilled
4,20,neve
47,26,outs
0,6,bromell
11,10,contaminated
3,2,natascha
4,3,mcelhone
14,9,weller
0,2,woywood
0,2,nikolett
0,2,barabas
1,2,hendrick
1,2,haese
2,2,nosbusch
0,2,brauss
0,2,cazenove
0,1,actio
10,3,ishtar
0,2,achievers
7,18,relish
59,42,disappear
77,45,root
0,3,unceremonious
5,1,weitz
15,16,mercilessly
4,11,grossing
25,9,napoleon
1,3,wittier
0,2,wackier
7,12,amelie
11,9,weirdly
8,13,supremely
12,5,flu
3,12,tornadoes
4,5,nebraska
1,1,blainsworth
0,1,ainsworth
0,1,blains
6,1,slowest
0,1,doppler
6,4,brightness
11,14,tornado
4,8,midwest
12,9,twister
0,1,chaining
10,14,pipe
13,8,undone
0,2,bastien
8,31,collaboration
3,2,bouquet
0,1,treasureable
14,17,insecure
12,12,youths
0,3,elka
11,4,dominique
0,1,reymond
6,2,undefined
46,43,illness
0,1,annick
0,1,matheron
0,1,laetitia
0,1,legrix
37,41,remained
0,1,sunning
11,31,notices
1,2,rebuffs
0,1,consignations
6,4,throes
5,5,enactment
0,1,condiment
0,1,dionysian
0,1,apollonian
3,3,architectural
2,3,hideaway
5,10,burgeoning
1,8,nascent
3,6,disrupted
2,1,nils
0,1,ohlund
7,9,identification
13,15,meditation
0,2,reveries
2,1,incomparably
1,3,reminisces
15,38,romances
3,6,sabre
7,6,boasting
11,17,wherein
17,18,cristina
7,72,raines
19,67,alison
6,12,evidenced
15,5,degenerate
9,3,cavorting
10,3,crucifix
22,15,toss
24,31,sarandon
3,5,furnished
0,6,spacious
0,13,brownstone
1,7,montague
2,8,terrace
0,1,promenade
16,17,apartments
2,2,inconvenience
8,14,ava
15,17,gardner
3,10,commission
0,1,halliran
18,27,sylvia
15,21,angelo
4,3,deteriorate
19,20,plagued
5,6,headaches
3,4,fainting
3,5,relays
8,6,nightly
4,1,clanging
2,1,dumbstruck
156,70,priest
0,3,summoning
4,4,nocturnal
11,5,flashlight
27,20,upstairs
14,10,riddled
13,5,nary
41,30,dates
0,1,uriel
6,12,unknowingly
3,3,primed
2,1,prepped
1,5,oddballs
46,30,agenda
88,52,competent
3,6,representatives
2,9,anarchy
2,3,lawlessness
17,57,reign
0,1,podunk
20,9,hick
1,2,elk
5,10,elders
0,1,deputize
2,3,cagey
34,14,aaron
20,32,kris
26,22,kristofferson
23,20,vet
2,4,gooder
2,2,amiably
30,29,jan
34,28,miami
4,1,armitage
11,8,whips
4,21,wickedly
27,23,redneck
0,3,unflagging
15,8,plentiful
2,5,flaky
25,5,dexter
7,11,affable
0,3,cyphers
13,7,nam
16,17,vets
0,1,carbone
26,37,casino
1,1,steadman
1,7,folksy
26,23,diner
1,2,shakedown
27,4,talentless
0,1,cronjager
17,12,gerald
29,24,fried
0,4,harmonic
17,10,hillbilly
15,7,abundant
4,15,unjustly
14,11,commenter
6,17,renewed
0,1,bayless
0,2,compositor
49,46,blade
33,37,runner
6,13,bewitched
2,16,crashers
11,10,convert
0,1,kirtland
12,15,ohio
0,1,vistor
1,2,preformed
0,2,interpretor
3,16,detractors
1,24,perdition
23,37,salvation
10,12,disappointments
20,21,outset
11,11,fashionable
12,9,mistakenly
8,8,curses
36,19,predictably
1,2,repents
4,9,laconic
1,5,misdeeds
3,6,greens
0,6,greys
4,21,illinois
0,1,flatlands
1,2,sonorous
14,29,overtones
0,1,copland
59,107,authentic
11,11,churches
5,9,shone
1,9,gleaming
3,4,woodwork
1,5,enveloping
10,23,acknowledged
0,1,subiaco
12,26,animations
6,1,nomads
1,20,manny
4,8,reclusive
6,15,environments
41,16,clay
19,24,shrek
2,1,incredibles
10,20,separation
7,9,distribute
0,1,flom
6,11,mystique
4,50,colman
17,24,signature
2,16,bulldog
9,7,drummond
4,10,goldwyn
4,1,raffles
6,2,burglar
3,3,burglary
3,6,conway
1,1,shangri
0,3,heldar
1,1,manfully
104,24,useless
7,4,carton
8,5,rudolf
0,1,rassendyll
6,9,unconsciously
2,8,signe
2,11,hasso
11,18,staircase
27,12,stares
0,3,hardening
2,12,edmond
54,29,fury
4,9,shakespearian
0,1,hampden
2,24,iago
3,5,influencing
62,14,hackneyed
12,10,cukor
3,6,kanin
4,4,brighton
3,24,strangler
1,3,loder
20,27,cheers
3,4,chambers
17,33,convict
10,16,folklore
19,29,studied
4,2,labs
4,10,gough
0,1,expenditures
27,20,repeats
5,6,fiber
22,20,electronic
2,2,molecular
4,9,intents
1,6,tact
5,4,steward
1,3,parkers
2,6,tycoons
0,1,theisinger
17,22,stricken
8,9,suppress
0,1,sympathizes
0,1,calculations
2,5,suppression
21,17,threads
10,11,dye
0,3,hypocrisies
7,9,validity
5,5,suppressing
6,8,slowing
2,7,meditative
5,12,mythological
12,9,bemused
6,4,conjured
2,5,tractor
10,10,glimmer
46,70,areas
3,7,descriptive
96,37,spending
6,9,poland
6,5,skimmed
0,1,louuu
0,1,siana
8,16,dialect
1,9,interacted
0,4,paymer
0,7,zapatti
20,8,recap
4,6,accounted
9,19,lemon
9,5,pudding
3,1,responsibly
0,3,luckett
2,7,correctional
0,2,whittle
108,26,horrendous
54,15,redeem
6,1,unredeemable
0,1,philomath
30,20,sweat
0,4,cruder
0,1,vulkan
1,2,jeri
7,10,bakula
11,17,niche
0,1,ql
8,2,heavies
1,3,kafkaesque
13,23,alienation
2,7,diffident
4,4,introvert
1,3,lodgings
1,1,lodgers
0,2,defences
3,9,undoing
26,23,isabelle
0,13,adjani
10,14,shelly
0,2,finite
3,4,definitions
4,18,adjust
6,5,instill
39,17,whining
4,2,developer
4,4,alleviate
0,3,workload
6,7,hoodlum
3,2,unsuited
5,8,implicit
2,5,negotiating
0,2,readiness
0,2,thuggery
10,11,acquaintances
3,1,unpaid
0,1,formulates
1,3,utilises
37,13,robbers
0,2,marginalised
7,5,gears
46,36,edgy
0,1,symbiotic
20,19,winners
0,1,circumnavigate
13,8,surly
0,2,reticence
8,7,cornered
1,2,concocting
40,12,steer
3,11,feelgood
1,1,cul
2,1,sac
5,8,labels
15,22,defy
14,23,liz
1,2,extensions
5,4,crib
3,36,vertigo
10,21,employs
2,5,recurrent
2,11,motifs
1,6,herrmann
3,3,oblique
3,37,influential
6,4,agonizingly
37,10,clunky
9,5,skewed
27,5,masturbation
0,1,prudishness
3,4,puritanical
1,1,monogamistic
7,6,sheltered
2,2,lamentable
13,25,pleasures
1,6,trumped
33,12,stuffed
23,20,shirts
84,32,whale
3,2,cutaways
2,1,flashier
12,15,glove
0,14,intricately
1,1,nested
2,2,cubes
6,2,titillate
6,13,risqu
0,37,ahmad
1,3,narcissus
53,36,justin
0,8,malleson
1,8,sultan
0,8,basra
5,9,collects
0,2,deride
13,5,superimposed
20,19,shout
5,7,aardman
16,17,matching
34,15,goat
2,2,dawg
32,47,alicia
83,45,satan
4,6,comprise
0,1,transposes
4,2,quatermass
17,7,cement
6,10,highlighting
29,25,establishing
1,2,decreases
13,7,reliance
0,2,parkes
1,1,zachary
0,1,flane
7,5,lear
5,16,detailing
7,14,turbulent
1,13,rolle
13,14,jj
5,8,militant
2,3,aspired
4,1,mag
0,6,fleshes
31,14,belle
8,18,trait
3,6,redemptive
0,1,notrious
13,11,pic
1,2,stamina
14,18,positions
8,6,smut
10,3,tinted
0,1,sovjet
9,21,lambs
0,1,shamanism
0,1,zaitochi
0,2,onmyoji
2,5,sogo
0,1,ichii
0,1,yomada
18,15,zatoichi
